id,PClass,Age,Gender,Survived,GenderCode
257,1st,52,male,0,0
258,1st,39,female,1,1
259,1st,18,female,1,1
260,1st,48,male,1,0
261,1st,0,female,1,1
262,1st,49,male,0,0
263,1st,39,female,1,1
264,1st,17,male,1,0
265,1st,46,male,0,0
266,1st,0,female,1,1
267,1st,31,male,1,0
268,1st,0,male,0,0
269,1st,61,male,0,0
270,1st,47,male,0,0
271,1st,64,male,0,0
272,1st,60,female,1,1
273,1st,60,male,0,0
274,1st,55,female,1,1
275,1st,54,male,0,0
276,1st,21,male,0,0
277,1st,57,male,0,0
278,1st,45,female,1,1
279,1st,31,female,1,1
280,1st,50,male,0,0
281,1st,50,female,1,1
282,1st,27,male,0,0
283,1st,20,female,1,1
284,1st,51,male,0,0
285,1st,0,male,0,0
286,1st,21,male,1,0
287,1st,0,male,1,0
288,1st,0,male,0,0
289,1st,36,female,1,1
290,1st,0,female,1,1
291,1st,0,female,1,1
292,1st,0,female,1,1
293,1st,0,female,1,1
294,1st,0,female,1,1
295,1st,0,female,1,1
296,1st,0,female,1,1
297,1st,0,female,1,1
298,1st,0,female,1,1
299,1st,0,female,1,1
300,1st,0,male,0,0
301,1st,0,female,0,1
302,1st,0,female,1,1
303,1st,0,male,0,0
304,1st,0,female,1,1
305,1st,0,male,0,0
306,1st,0,male,0,0
307,1st,40,male,0,0
308,1st,0,male,0,0
309,1st,0,female,1,1
310,1st,32,male,0,0
311,1st,0,female,1,1
312,1st,0,female,1,1
313,1st,0,male,0,0
314,1st,0,female,1,1
315,1st,0,female,0,1
316,1st,0,female,1,1
317,1st,33,male,0,0
318,1st,0,male,0,0
319,1st,0,female,1,1
320,1st,0,female,0,1
321,1st,0,female,0,1
322,1st,0,female,1,1
323,2nd,30,male,0,0
324,2nd,28,female,1,1
325,2nd,18,male,0,0
326,2nd,0,male,0,0
327,2nd,34,male,0,0
328,2nd,32,female,1,1
329,2nd,57,male,0,0
330,2nd,18,male,0,0
331,2nd,23,male,0,0
332,2nd,36,female,1,1
333,2nd,28,male,0,0
334,2nd,51,male,0,0
335,2nd,32,male,1,0
336,2nd,19,female,1,1
337,2nd,28,male,0,0
338,2nd,36,female,1,1
339,2nd,4,female,1,1
340,2nd,1,male,1,0
341,2nd,12,female,1,1
342,2nd,34,male,1,0
343,2nd,19,female,1,1
344,2nd,23,male,0,0
345,2nd,26,male,0,0
346,2nd,0,male,0,0
347,2nd,27,male,0,0
348,2nd,15,female,1,1
349,2nd,45,male,0,0
350,2nd,40,female,1,1
351,2nd,20,female,1,1
352,2nd,25,male,0,0
353,2nd,36,female,1,1
354,2nd,25,male,0,0
355,2nd,0,male,0,0
356,2nd,42,female,1,1
357,2nd,26,male,1,0
358,2nd,26,female,1,1
359,2nd,0.83,male,1,0
360,2nd,31,female,1,1
361,2nd,0,male,0,0
362,2nd,19,male,0,0
363,2nd,54,male,0,0
364,2nd,44,female,0,1
365,2nd,52,male,0,0
366,2nd,30,male,0,0
367,2nd,30,female,0,1
368,2nd,0,female,1,1
369,2nd,0,female,1,1
370,2nd,29,male,0,0
371,2nd,0,female,1,1
372,2nd,29,male,0,0
373,2nd,27,male,0,0
374,2nd,24,male,1,0
375,2nd,35,male,0,0
376,2nd,31,female,1,1
377,2nd,8,female,1,1
378,2nd,22,female,0,1
379,2nd,30,female,0,1
380,2nd,0,female,0,1
381,2nd,20,male,0,0
382,2nd,0,male,0,0
383,2nd,21,male,0,0
384,2nd,49,female,1,1
385,2nd,8,male,1,0
386,2nd,28,female,1,1
387,2nd,18,male,0,0
388,2nd,0,male,0,0
389,2nd,28,male,0,0
390,2nd,22,female,1,1
391,2nd,25,male,0,0
392,2nd,18,male,0,0
393,2nd,32,female,1,1
394,2nd,18,female,1,1
395,2nd,0,male,0,0
396,2nd,42,male,0,0
397,2nd,34,female,1,1
398,2nd,8,male,1,0
399,2nd,0,female,1,1
400,2nd,0,female,1,1
401,2nd,23,male,0,0
402,2nd,21,male,0,0
403,2nd,19,male,0,0
404,2nd,0,male,0,0
405,2nd,0,female,1,1
406,2nd,0,male,0,0
407,2nd,38,male,0,0
408,2nd,0,male,0,0
409,2nd,38,female,0,1
410,2nd,35,male,0,0
411,2nd,35,male,0,0
412,2nd,38,male,0,0
413,2nd,24,female,1,1
414,2nd,16,male,0,0
415,2nd,26,male,0,0
416,2nd,45,male,0,0
417,2nd,24,male,0,0
418,2nd,21,male,0,0
419,2nd,22,male,0,0
420,2nd,0,male,0,0
421,2nd,34,male,0,0
422,2nd,30,male,0,0
423,2nd,50,male,0,0
424,2nd,30,male,0,0
425,2nd,23,female,1,1
426,2nd,1,male,1,0
427,2nd,44,male,0,0
428,2nd,28,male,0,0
429,2nd,6,female,1,1
430,2nd,30,male,1,0
431,2nd,0,male,0,0
432,2nd,43,male,0,0
433,2nd,45,female,1,1
434,2nd,7,female,1,1
435,2nd,24,female,1,1
436,2nd,24,female,1,1
437,2nd,49,male,0,0
438,2nd,48,female,1,1
439,2nd,0,female,1,1
440,2nd,34,male,0,0
441,2nd,32,male,0,0
442,2nd,21,male,0,0
443,2nd,18,female,0,1
444,2nd,53,female,1,1
445,2nd,23,male,0,0
446,2nd,21,female,1,1
447,2nd,0,male,0,0
448,2nd,52,male,0,0
449,2nd,42,male,0,0
450,2nd,36,female,1,1
451,2nd,21,male,0,0
452,2nd,41,male,1,0
453,2nd,0,male,0,0
454,2nd,0,female,0,1
455,2nd,33,male,0,0
456,2nd,17,female,1,1
457,*,0,male,0,0
458,2nd,0,female,1,1
459,2nd,0,male,0,0
460,2nd,0,male,0,0
461,2nd,0,male,0,0
462,2nd,0,male,0,0
463,2nd,23,female,1,1
464,2nd,34,male,0,0
465,2nd,0,female,1,1
466,2nd,22,female,0,1
467,2nd,0,male,0,0
468,2nd,0,female,1,1
469,2nd,45,female,1,1
470,2nd,0,male,0,0
471,2nd,0,male,0,0
472,2nd,31,male,0,0
473,2nd,30,male,0,0
474,2nd,26,female,0,1
475,2nd,0,male,0,0
476,2nd,34,female,1,1
477,2nd,26,male,0,0
478,2nd,22,female,1,1
479,2nd,1,female,1,1
480,2nd,3,female,1,1
481,2nd,0,female,1,1
482,2nd,0,female,1,1
483,2nd,0,male,0,0
484,2nd,25,male,0,0
485,2nd,0,male,0,0
486,2nd,48,male,0,0
487,2nd,0,female,1,1
488,2nd,57,female,0,1
489,2nd,0,male,0,0
490,2nd,0,male,0,0
491,2nd,0,female,1,1
492,2nd,2,male,1,0
493,2nd,0,male,0,0
494,2nd,27,male,0,0
495,2nd,19,female,1,1
496,2nd,30,male,0,0
497,2nd,20,male,0,0
498,2nd,45,male,0,0
499,2nd,0,male,0,0
500,2nd,46,male,0,0
501,2nd,41,female,1,1
502,2nd,13,female,1,1
503,2nd,19,male,1,0
504,2nd,30,male,0,0
505,2nd,48,male,0,0
506,2nd,71,male,0,0
507,2nd,54,male,0,0
508,2nd,0,male,0,0
509,2nd,0,male,0,0
510,2nd,64,male,0,0
511,2nd,32,male,0,0
512,2nd,18,female,1,1
513,2nd,2,male,1,0
514,2nd,32,male,0,0
515,2nd,3,male,1,0
516,2nd,26,male,0,0
517,2nd,19,male,0,0
518,2nd,0,male,0,0
519,2nd,20,male,1,0
520,2nd,29,female,1,1
521,2nd,39,male,0,0
522,2nd,22,male,1,0
523,2nd,0,male,1,0
524,2nd,24,male,0,0
525,2nd,0,male,1,0
526,2nd,28,male,0,0
527,2nd,0,male,0,0
528,2nd,50,female,1,1
529,2nd,20,male,0,0
530,2nd,40,male,0,0
531,2nd,42,female,1,1
532,2nd,21,male,0,0
533,2nd,32,female,1,1
534,2nd,34,male,0,0
535,2nd,0,male,1,0
536,2nd,0,male,0,0
537,2nd,33,female,1,1
538,2nd,2,female,1,1
539,2nd,8,female,1,1
540,2nd,36,male,0,0
541,2nd,34,male,0,0
542,2nd,30,female,1,1
543,2nd,28,female,1,1
544,2nd,23,male,0,0
545,2nd,0.8,male,1,0
546,2nd,25,female,1,1
547,2nd,3,male,1,0
548,2nd,50,female,1,1
549,2nd,0,male,0,0
550,2nd,21,female,1,1
551,2nd,0,male,0,0
552,2nd,0,male,0,0
553,2nd,25,female,1,1
554,2nd,18,female,1,1
555,2nd,20,female,1,1
556,2nd,30,female,1,1
557,2nd,59,male,0,0
558,2nd,30,female,1,1
559,2nd,35,male,0,0
560,2nd,22,male,0,0
561,2nd,0,female,1,1
562,2nd,25,male,0,0
563,2nd,41,male,0,0
564,2nd,25,male,0,0
565,2nd,14,male,0,0
566,2nd,50,female,1,1
567,2nd,22,male,0,0
568,2nd,0,female,1,1
569,2nd,27,female,1,1
570,2nd,29,male,0,0
571,2nd,27,female,0,1
572,2nd,30,male,0,0
573,2nd,22,male,0,0
574,2nd,35,female,1,1
575,2nd,30,male,0,0
576,2nd,28,female,1,1
577,2nd,23,male,0,0
578,2nd,0,male,0,0
579,2nd,12,female,1,1
580,2nd,40,female,1,1
581,2nd,36,female,1,1
582,2nd,28,male,0,0
583,2nd,32,female,1,1
584,2nd,29,female,1,1
585,2nd,4,female,1,1
586,2nd,2,male,1,0
587,2nd,0,female,1,1
588,2nd,0,female,1,1
589,2nd,36,male,0,0
590,2nd,33,female,1,1
591,2nd,0,male,0,0
592,2nd,0,male,0,0
593,2nd,0,male,0,0
594,2nd,32,male,1,0
595,2nd,0,female,1,1
596,2nd,0,male,1,0
597,2nd,26,female,1,1
598,2nd,0,female,0,1
599,2nd,30,male,0,0
600,2nd,24,female,1,1
601,2nd,0,male,0,0
602,2nd,18,male,0,0
603,3rd,42,male,0,0
604,3rd,13,male,0,0
605,3rd,16,male,0,0
606,3rd,35,female,1,1
607,3rd,16,female,1,1
608,3rd,25,male,1,0
609,3rd,18,female,1,1
610,3rd,20,male,1,0
611,3rd,30,male,0,0
612,3rd,26,male,0,0
613,3rd,40,female,0,1
614,3rd,24,male,0,0
615,3rd,41,male,0,0
616,3rd,18,female,1,1
617,3rd,0.83,male,1,0
618,3rd,23,male,0,0
619,3rd,20,male,0,0
620,3rd,25,male,0,0
621,3rd,35,male,0,0
622,3rd,17,male,0,0
623,3rd,32,male,0,0
624,3rd,20,male,0,0
625,3rd,39,male,0,0
626,3rd,39,female,0,1
627,3rd,6,female,0,1
628,3rd,2,female,0,1
629,3rd,17,female,1,1
630,3rd,38,female,0,1
631,3rd,9,female,0,1
632,3rd,26,male,0,0
633,3rd,11,female,0,1
634,3rd,4,male,0,0
635,3rd,20,male,0,0
636,3rd,26,male,0,0
637,3rd,25,male,0,0
638,3rd,18,female,0,1
639,3rd,24,male,0,0
640,3rd,35,male,0,0
641,3rd,40,male,0,0
642,3rd,38,female,1,1
643,3rd,5,male,0,0
644,3rd,9,male,0,0
645,3rd,3,male,1,0
646,3rd,13,male,0,0
647,3rd,23,male,1,0
648,3rd,5,female,1,1
649,3rd,0,male,0,0
650,3rd,45,female,1,1
651,3rd,23,male,0,0
652,3rd,17,female,0,1
653,3rd,27,male,0,0
654,3rd,23,male,0,0
655,3rd,20,male,0,0
656,3rd,32,male,0,0
657,3rd,33,female,1,1
658,3rd,3,female,1,1
659,3rd,0,female,1,1
660,3rd,0,female,1,1
661,3rd,0,female,1,1
662,3rd,18,female,1,1
663,3rd,40,male,0,0
664,3rd,26,male,0,0
665,3rd,15,female,1,1
666,3rd,45,female,0,1
667,3rd,18,female,0,1
668,3rd,27,female,0,1
669,3rd,22,male,0,0
670,3rd,19,male,0,0
671,3rd,26,male,0,0
672,3rd,22,male,0,0
673,3rd,20,male,0,0
674,3rd,32,male,1,0
675,3rd,21,male,0,0
676,3rd,18,male,0,0
677,3rd,26,male,0,0
678,3rd,6,male,0,0
679,3rd,0,male,0,0
680,3rd,0,female,0,1
681,3rd,9,female,0,1
682,3rd,40,male,0,0
683,3rd,32,female,0,1
684,3rd,0,female,0,1
685,3rd,26,male,0,0
686,3rd,18,female,1,1
687,3rd,20,female,0,1
688,3rd,0,male,0,0
689,3rd,29,male,0,0
690,3rd,22,male,0,0
691,3rd,22,male,0,0
692,3rd,35,male,0,0
693,3rd,21,male,1,0
694,3rd,20,female,0,1
695,3rd,19,male,0,0
696,3rd,18,female,0,1
697,3rd,18,male,0,0
698,3rd,38,male,0,0
699,3rd,0,male,0,0
700,3rd,30,male,0,0
701,3rd,17,male,0,0
702,3rd,21,female,0,1
703,3rd,21,male,0,0
704,3rd,21,male,0,0
705,3rd,0,male,0,0
706,3rd,0,female,0,1
707,3rd,24,male,0,0
708,3rd,33,male,0,0
709,3rd,33,male,0,0
710,3rd,28,male,0,0
711,3rd,16,female,1,1
712,3rd,37,female,0,1
713,3rd,28,male,0,0
714,3rd,0,male,1,0
715,3rd,24,male,0,0
716,3rd,21,male,0,0
717,3rd,0,male,0,0
718,3rd,32,male,0,0
719,3rd,29,male,0,0
720,3rd,26,male,0,0
721,3rd,18,male,0,0
722,3rd,20,male,0,0
723,3rd,19,male,1,0
724,3rd,24,male,0,0
725,3rd,24,male,0,0
726,3rd,36,male,0,0
727,3rd,31,male,0,0
728,3rd,31,male,0,0
729,3rd,30,female,0,1
730,3rd,22,female,1,1
731,3rd,0,male,0,0
732,3rd,43,male,0,0
733,3rd,35,male,0,0
734,3rd,27,male,0,0
735,3rd,19,male,0,0
736,3rd,30,male,0,0
737,3rd,36,female,1,1
738,3rd,3,male,1,0
739,3rd,9,male,1,0
740,3rd,59,male,0,0
741,3rd,19,male,0,0
742,3rd,44,male,0,0
743,3rd,17,female,1,1
744,3rd,0,male,0,0
745,3rd,45,male,1,0
746,3rd,22,female,0,1
747,3rd,19,male,0,0
748,3rd,29,male,1,0
749,3rd,30,female,1,1
750,3rd,34,male,0,0
751,3rd,28,female,0,1
752,3rd,0.33,male,0,0
753,3rd,27,male,0,0
754,3rd,25,male,0,0
755,3rd,24,male,0,0
756,3rd,22,male,0,0
757,3rd,21,male,0,0
758,3rd,17,male,0,0
759,3rd,0,male,0,0
760,3rd,0,female,1,1
761,3rd,26,male,0,0
762,3rd,33,female,1,1
763,3rd,1,male,1,0
764,3rd,0.17,female,1,1
765,3rd,25,male,0,0
766,3rd,36,male,1,0
767,3rd,36,female,1,1
768,3rd,30,male,1,0
769,3rd,0,male,0,0
770,3rd,23,male,0,0
771,3rd,26,male,0,0
772,3rd,19,female,1,1
773,3rd,65,male,0,0
774,3rd,0,male,0,0
775,3rd,42,male,0,0
776,3rd,43,male,0,0
777,3rd,32,male,0,0
778,3rd,19,male,1,0
779,3rd,30,female,1,1
780,3rd,24,female,0,1
781,3rd,23,female,1,1
782,3rd,0,male,0,0
783,3rd,24,female,1,1
784,3rd,24,male,1,0
785,3rd,23,male,0,0
786,3rd,22,female,1,1
787,3rd,0,male,0,0
788,3rd,18,male,0,0
789,3rd,16,male,0,0
790,3rd,45,male,0,0
791,3rd,0,male,0,0
792,3rd,0,male,0,0
793,3rd,0,male,0,0
794,3rd,47,male,0,0
795,3rd,5,female,1,1
796,3rd,0,male,0,0
797,3rd,0,male,0,0
798,3rd,0,male,0,0
799,3rd,0,male,1,0
800,3rd,0,male,0,0
801,3rd,0,male,0,0
802,3rd,0,male,0,0
803,3rd,0,male,0,0
804,3rd,0,male,0,0
805,3rd,0,male,1,0
806,3rd,0,male,0,0
807,3rd,21,female,0,1
808,3rd,18,male,0,0
809,3rd,9,female,0,1
810,3rd,48,female,0,1
811,3rd,16,male,0,0
812,3rd,0,male,0,0
813,3rd,0,male,0,0
814,3rd,25,male,0,0
815,3rd,0,male,0,0
816,3rd,38,female,1,1
817,3rd,22,male,0,0
818,3rd,16,female,1,1
819,3rd,0,female,1,1
820,3rd,33,male,0,0
821,3rd,0,female,1,1
822,3rd,9,male,1,0
823,3rd,41,male,0,0
824,3rd,38,male,0,0
825,3rd,40,male,0,0
826,3rd,43,female,0,1
827,3rd,14,male,0,0
828,3rd,16,female,0,1
829,3rd,9,male,0,0
830,3rd,10,female,0,1
831,3rd,6,male,0,0
832,3rd,11,male,0,0
833,3rd,40,male,0,0
834,3rd,32,male,0,0
835,3rd,0,male,0,0
836,3rd,20,male,0,0
837,3rd,37,male,0,0
838,3rd,28,male,0,0
839,3rd,19,male,0,0
840,3rd,24,female,0,1
841,3rd,17,female,0,1
842,3rd,0,male,0,0
843,3rd,0,male,0,0
844,3rd,28,male,0,0
845,3rd,24,female,1,1
846,3rd,20,male,0,0
847,3rd,41,male,0,0
848,3rd,45,female,1,1
849,3rd,26,male,0,0
850,3rd,21,male,0,0
851,3rd,0,female,0,1
852,3rd,0,male,0,0
853,3rd,0,male,0,0
854,3rd,0,male,0,0
855,3rd,0,female,0,1
856,3rd,27,male,1,0
857,3rd,0,male,0,0
858,3rd,18,female,0,1
859,3rd,26,female,1,1
860,3rd,23,female,0,1
861,3rd,22,female,1,1
862,3rd,0,female,0,1
863,3rd,0,male,0,0
864,3rd,0,female,0,1
865,3rd,28,female,0,1
866,3rd,22,female,1,1
867,3rd,2,female,0,1
868,3rd,43,male,0,0
869,3rd,0,male,0,0
870,3rd,27,female,1,1
871,3rd,0,male,0,0
872,3rd,0,female,1,1
873,3rd,42,male,0,0
874,3rd,0,male,1,0
875,3rd,0,male,0,0
876,3rd,27,female,0,1
877,3rd,25,female,0,1
878,3rd,0,male,0,0
879,3rd,27,male,1,0
880,3rd,0,male,0,0
881,3rd,19,female,1,1
882,3rd,20,male,0,0
883,3rd,48,male,0,0
884,3rd,17,male,0,0
885,3rd,0,female,1,1
886,3rd,0,male,0,0
887,3rd,34,male,0,0
888,3rd,22,male,0,0
889,3rd,33,male,0,0
890,3rd,32,male,1,0
891,3rd,29,male,0,0
892,3rd,26,male,1,0
893,3rd,49,male,0,0
894,3rd,1,female,1,1
895,3rd,33,male,0,0
896,3rd,4,male,1,0
897,3rd,24,female,0,1
898,3rd,19,male,0,0
899,3rd,0,male,0,0
900,3rd,0,female,0,1
901,3rd,0,female,0,1
902,3rd,0,male,0,0
903,3rd,0,male,0,0
904,3rd,32,male,1,0
905,3rd,27,male,0,0
906,3rd,21,female,0,1
907,3rd,32,male,1,0
908,3rd,20,female,0,1
909,3rd,17,male,0,0
910,3rd,21,male,0,0
911,3rd,30,male,0,0
912,3rd,21,male,1,0
913,3rd,23,male,0,0
914,3rd,22,male,0,0
915,3rd,4,female,1,1
916,3rd,39,male,0,0
917,3rd,0,male,0,0
918,3rd,20,male,0,0
919,3rd,0,male,0,0
920,3rd,0,male,0,0
921,3rd,21,female,1,1
922,3rd,44,male,0,0
923,3rd,42,male,0,0
924,3rd,21,female,1,1
925,3rd,24,male,0,0
926,3rd,0,male,0,0
927,3rd,0,female,0,1
928,3rd,0,male,0,0
929,3rd,25,male,0,0
930,3rd,22,male,0,0
931,3rd,22,male,0,0
932,3rd,39,male,1,0
933,3rd,26,female,0,1
934,3rd,4,female,1,1
935,3rd,22,female,0,1
936,3rd,26,male,0,0
937,3rd,1.5,female,0,1
938,3rd,36,female,0,1
939,3rd,18,male,0,0
940,3rd,0,male,0,0
941,3rd,25,male,1,0
942,3rd,0,male,0,0
943,3rd,37,female,0,1
944,3rd,0,male,0,0
945,3rd,0,male,1,0
946,3rd,0,male,0,0
947,3rd,22,female,1,1
948,3rd,20,male,0,0
949,3rd,26,male,1,0
950,3rd,29,male,0,0
951,3rd,29,male,0,0
952,3rd,22,male,0,0
953,3rd,0,male,1,0
954,3rd,0,female,0,1
955,3rd,0,male,0,0
956,3rd,0,female,0,1
957,3rd,0,female,0,1
958,3rd,0,female,0,1
959,3rd,32,male,0,0
960,3rd,0,male,0,0
961,3rd,21,male,0,0
962,3rd,21,female,0,1
963,3rd,36,male,0,0
964,3rd,39,male,0,0
965,3rd,25,female,0,1
966,3rd,45,female,0,1
967,3rd,36,male,0,0
968,3rd,30,female,0,1
969,3rd,20,male,1,0
970,3rd,0,male,0,0
971,3rd,0,male,0,0
972,3rd,0,male,0,0
973,3rd,0,male,0,0
974,3rd,0,female,0,1
975,3rd,0,male,0,0
976,3rd,0,male,0,0
977,3rd,0,male,1,0
978,3rd,0,male,0,0
979,3rd,0,female,1,1
980,3rd,0,male,0,0
981,3rd,0,male,0,0
982,3rd,0,male,0,0
983,3rd,0,female,1,1
984,3rd,0,male,0,0
985,3rd,0,male,0,0
986,3rd,0,female,0,1
987,3rd,0,male,0,0
988,3rd,0,male,0,0
989,3rd,0,male,1,0
990,3rd,0,female,0,1
991,3rd,0,female,1,1
992,3rd,0,male,0,0
993,3rd,0,male,0,0
994,3rd,0,male,0,0
995,3rd,0,male,0,0
996,3rd,0,male,0,0
997,3rd,0,female,1,1
998,3rd,0,male,0,0
999,3rd,0,female,1,1
1000,3rd,0,male,0,0
1001,3rd,0,female,0,1
1002,3rd,0,female,0,1
1003,3rd,0,male,0,0
1004,3rd,0,female,0,1
1005,3rd,0,male,0,0
1006,3rd,0,female,1,1
1007,3rd,0,female,0,1
1008,3rd,0,female,0,1
1009,3rd,0,male,0,0
1010,3rd,0,male,0,0
1011,3rd,0,female,0,1
1012,3rd,0,female,0,1
1013,3rd,0,male,0,0
1014,3rd,0,female,0,1
1015,3rd,23,female,0,1
1016,3rd,0,male,0,0
1017,3rd,0,male,1,0
